Observatory;Data_year;agglomeration;Zone_complementaire;Type_habitat;epoque_construction_homogene;anciennete_locataire_homogene;nombre_pieces_homogene;loyer_1_decile;loyer_1_quartile;loyer_median;loyer_3_quartile;loyer_9_decile;loyer_moyen;loyer_mensuel_1_decile;loyer_mensuel_1_quartile;loyer_mensuel_median;loyer_mensuel_3_quartile;loyer_mensuel_9_decile;moyenne_loyer_mensuel;surface_moyenne;nombre_obsservations;nombre_logements;methodologie_production
B0600;2014;Agglomération de Nice-Menton;;;;;;9,9;11,3;13,3;15,7;18,5;12,9;438;537;679;838;1030;718;55;22238;;Estimation directe
B0600;2014;Agglomération de Nice-Menton;;;;;Maison 1-3P;;;;;;;;;;;;;;;;
B0600;2014;Agglomération de Nice-Menton;;;;;Ensemble 4P et plus;8,0;9,9;11,5;12,9;14,1;11,3;696;814;1019;1262;1500;1082;95;2624;;Estimation directe
B0600;2014;Agglomération de Nice-Menton;;;;;Maison 4P et plus;;;;;;;;;;;;;;;;
B0600;2014;Agglomération de Nice-Menton;;;;;Appart 1P;12,4;14,7;17,1;20,0;22,4;16,9;348;416;480;557;650;493;29;5226;;Estimation directe
B0600;2014;Agglomération de Nice-Menton;;;;;Appart 2P;10,6;12,2;14,0;15,9;18,0;14,0;447;520;611;700;795;618;44;8643;;Estimation directe
B0600;2014;Agglomération de Nice-Menton;;;;;Appart 3P;9,8;10,9;12,3;13,8;15,3;12,4;620;697;796;931;1040;821;66;5456;;Estimation directe
B0600;2014;Agglomération de Nice-Menton;;;;;Appart 4P et plus;8,9;10,3;11,7;12,9;13,8;11,6;745;867;1026;1200;1384;1052;91;1987;;Estimation directe
B0600;2014;Agglomération de Nice-Menton;;;;;Ensemble 1P;12,4;14,7;17,1;20,0;22,4;16,9;348;416;480;557;650;493;29;5228;;Estimation directe
B0600;2014;Agglomération de Nice-Menton;;;;;Ensemble 2P;10,6;12,2;14,0;15,9;18,0;14,0;447;520;611;700;795;618;44;8663;;Estimation directe
B0600;2014;Agglomération de Nice-Menton;;;;;Ensemble 3P;9,2;10,6;12,1;13,6;15,2;12,1;602;696;795;924;1038;814;67;5723;;Estimation directe
B0600;2014;Agglomération de Nice-Menton;;;;1. Moins 1 an;;11,1;12,6;14,5;16,9;19,9;14,1;450;550;695;850;1086;740;52;6930;;Estimation directe
B0600;2014;Agglomération de Nice-Menton;;;;1. Moins 1 an;Ensemble 4P et plus;10,1;11,3;12,6;13,7;15,1;12,5;820;1000;1193;1393;1791;1245;99;766;;Estimation directe
B0600;2014;Agglomération de Nice-Menton;;;;1. Moins 1 an;Ensemble 1P;13,3;15,6;17,9;20,6;22,7;17,7;368;420;495;574;665;504;29;1782;;Estimation directe
B0600;2014;Agglomération de Nice-Menton;;;;1. Moins 1 an;Ensemble 2P;11,9;13,2;14,9;16,8;19,0;15,0;497;567;646;720;797;647;43;2760;;Estimation directe
B0600;2014;Agglomération de Nice-Menton;;;;1. Moins 1 an;Ensemble 3P;10,1;11,6;13,1;14,6;15,7;13,0;690;746;840;990;1092;867;66;1622;;Estimation directe
B0600;2014;Agglomération de Nice-Menton;;;;2. Un an et plus;;9,4;11,0;12,9;15,3;18,0;12,6;433;531;673;831;1018;710;56;15308;;Estimation directe
B0600;2014;Agglomération de Nice-Menton;;;;2. Un an et plus;Ensemble 4P et plus;;;;;;;;;;;;;;;;
B0600;2014;Agglomération de Nice-Menton;;;;2. Un an et plus;Ensemble 1P;;;;;;;;;;;;;;;;
B0600;2014;Agglomération de Nice-Menton;;;;2. Un an et plus;Ensemble 2P;;;;;;;;;;;;;;;;
B0600;2014;Agglomération de Nice-Menton;;;;2. Un an et plus;Ensemble 3P;;;;;;;;;;;;;;;;
B0600;2014;Agglomération de Nice-Menton;;;1. Avant 1946;;;9,6;11,2;13,1;15,6;19,1;12,9;426;516;657;815;994;692;54;5090;;Estimation directe
B0600;2014;Agglomération de Nice-Menton;;;1. Avant 1946;;Ensemble 4P et plus;8,2;9,6;11,2;12,4;13,4;11,1;725;795;991;1192;1392;1029;93;616;;Estimation directe
B0600;2014;Agglomération de Nice-Menton;;;1. Avant 1946;;Ensemble 1P;12,4;15,0;17,3;20,7;22,7;17,2;336;399;473;546;650;487;28;1202;;Estimation directe
B0600;2014;Agglomération de Nice-Menton;;;1. Avant 1946;;Ensemble 2P;10,2;11,9;13,6;15,8;18,3;13,7;423;497;596;696;795;600;44;2118;;Estimation directe
B0600;2014;Agglomération de Nice-Menton;;;1. Avant 1946;;Ensemble 3P;9,0;10,4;12,3;13,7;15,3;12,0;594;695;794;924;1044;808;67;1154;;Estimation directe
B0600;2014;Agglomération de Nice-Menton;;;2. Entre 1946-1970;;;9,6;11,1;12,9;15,2;18,0;12,6;430;520;648;796;992;686;54;5714;;Estimation directe
B0600;2014;Agglomération de Nice-Menton;;;2. Entre 1946-1970;;Ensemble 4P et plus;7,7;9,8;11,1;12,9;13,5;11,1;625;819;994;1200;1393;1023;92;597;;Estimation directe
B0600;2014;Agglomération de Nice-Menton;;;2. Entre 1946-1970;;Ensemble 1P;11,8;14,1;16,6;19,8;21,8;16,4;323;411;477;562;695;490;30;1409;;Estimation directe
B0600;2014;Agglomération de Nice-Menton;;;2. Entre 1946-1970;;Ensemble 2P;10,5;12,1;13,5;15,4;17,1;13,5;442;500;596;683;795;603;45;2117;;Estimation directe
B0600;2014;Agglomération de Nice-Menton;;;2. Entre 1946-1970;;Ensemble 3P;9,1;10,3;11,6;13,1;14,7;11,7;597;677;750;863;993;774;66;1591;;Estimation directe
B0600;2014;Agglomération de Nice-Menton;;;3. Entre 1971-1990;;;9,8;11,2;13,0;15,6;18,4;12,7;445;540;680;845;1061;725;57;6061;;Estimation directe
B0600;2014;Agglomération de Nice-Menton;;;3. Entre 1971-1990;;Ensemble 4P et plus;7,3;9,9;11,4;12,8;13,8;11,2;666;796;1019;1243;1490;1076;97;797;;Estimation directe
B0600;2014;Agglomération de Nice-Menton;;;3. Entre 1971-1990;;Ensemble 1P;12,4;14,6;17,0;19,9;22,5;16,8;360;422;480;556;625;490;29;1602;;Estimation directe
B0600;2014;Agglomération de Nice-Menton;;;3. Entre 1971-1990;;Ensemble 2P;10,7;11,9;13,7;15,5;17,6;13,7;447;537;622;700;794;621;45;2109;;Estimation directe
B0600;2014;Agglomération de Nice-Menton;;;3. Entre 1971-1990;;Ensemble 3P;9,4;10,5;11,7;13,4;14,9;12,0;617;696;799;929;1021;822;69;1553;;Estimation directe
B0600;2014;Agglomération de Nice-Menton;;;4. Entre 1991-2005;;;10,1;11,7;13,9;16,1;18,5;13,3;482;594;710;881;1176;771;58;3480;;Estimation directe
B0600;2014;Agglomération de Nice-Menton;;;4. Entre 1991-2005;;Ensemble 4P et plus;9,0;9,9;11,6;13,5;15,1;11,8;712;890;1180;1366;1645;1179;100;424;;Estimation directe
B0600;2014;Agglomération de Nice-Menton;;;4. Entre 1991-2005;;Ensemble 1P;12,9;15,7;17,4;20,1;22,0;17,3;392;435;506;580;746;521;30;760;;Estimation directe
B0600;2014;Agglomération de Nice-Menton;;;4. Entre 1991-2005;;Ensemble 2P;11,4;13,1;14,6;16,5;18,1;14,7;498;570;650;734;794;650;44;1423;;Estimation directe
B0600;2014;Agglomération de Nice-Menton;;;4. Entre 1991-2005;;Ensemble 3P;9,4;10,8;12,4;14,0;15,4;12,4;636;704;810;959;1092;841;68;873;;Estimation directe
B0600;2014;Agglomération de Nice-Menton;;;5. Après 2005;;;11,2;12,6;14,6;16,6;18,8;14,0;450;592;740;938;1148;788;56;1893;;Estimation directe
B0600;2014;Agglomération de Nice-Menton;;;5. Après 2005;;Ensemble 4P et plus;6,4;11,2;12,6;13,9;15,2;12,1;746;993;1127;1345;1795;1207;100;190;;Estimation directe
B0600;2014;Agglomération de Nice-Menton;;;5. Après 2005;;Ensemble 1P;13,1;15,8;17,8;20,0;22,9;17,9;328;414;490;552;645;490;27;255;;Estimation directe
B0600;2014;Agglomération de Nice-Menton;;;5. Après 2005;;Ensemble 2P;12,3;13,8;15,5;17,1;18,9;15,4;448;550;660;755;875;660;43;896;;Estimation directe
B0600;2014;Agglomération de Nice-Menton;;;5. Après 2005;;Ensemble 3P;11,1;12,2;13,3;14,9;16,0;13,5;630;796;886;1000;1148;894;66;552;;Estimation directe
B0600;2014;Agglomération de Nice-Menton;;Maison;;;;6,9;8,8;10,6;12,8;14,5;10,8;582;677;800;1093;1523;947;88;926;;Estimation directe
B0600;2014;Agglomération de Nice-Menton;;Maison;;;Maison 1-3P;;;;;;;;;;;;;;;;
B0600;2014;Agglomération de Nice-Menton;;Maison;;;Maison 4P et plus;;;;;;;;;;;;;;;;
B0600;2014;Agglomération de Nice-Menton;;Maison;;1. Moins 1 an;;;;;;;;;;;;;;;;;
B0600;2014;Agglomération de Nice-Menton;;Maison;;1. Moins 1 an;Maison 1-3P;;;;;;;;;;;;;;;;
B0600;2014;Agglomération de Nice-Menton;;Maison;;1. Moins 1 an;Maison 4P et plus;;;;;;;;;;;;;;;;
B0600;2014;Agglomération de Nice-Menton;;Maison;;2. Un an et plus;;;;;;;;;;;;;;;;;
